target_comb_idx,target_text,ctx_-4_speaker,ctx_-4_text,ctx_-3_speaker,ctx_-3_text,ctx_-2_speaker,ctx_-2_text,ctx_-1_speaker,ctx_-1_text,ctx_0_speaker,ctx_0_text,ctx_1_speaker,ctx_1_text,ctx_2_speaker,ctx_2_text,R1: References prior student content_final,R2: Builds on student content_final,R3: Invites further student thinking_final,C1. No student content available (N/A)_final,C2. Want annotation review_final
2699_3,"All the A’s, you’re gonna take the side that has the answer and you read to –",,,teacher,"One and two and three. We are going to begin the lesson today. I’m not gonna start any lesson now, but I’m gonna go the other way that we do. So, everybody, take your –",teacher,"Excuse me, one –",teacher,"The second one to you in the classroom, the second one.",teacher,"All the A’s, you’re gonna take the side that has the answer and you read to –",teacher,"Everybody should have a letter now, A and B. If you are in a group of three, you have C. Right now we have an equal number and everybody should have A and B. We have to move now. Who’s A here?",student,Me.,0,0,0,1,0
2727_627,"That wasn’t so pretty. Okay, I’m done.",student,My house is squares.,teacher,Who’s almost ready to share?,teacher,"Let’s make a chart. Let’s count out how many – let’s take some data – hexagons, triangles, squares, no circles, right, circles aren’t polygons, hexagons, triangles, squares. What am I missing? A rhombus.",student,"Obtuse and acute diamonds, trapezoids.",teacher,"That wasn’t so pretty. Okay, I’m done.",student,Trapezoids.,teacher,Trapezoids. What am I forgetting?,0,0,0,1,0
2797_113,"I know she comes after school. Good. Let’s focus on this, okay. So let’s go back to our multiplication chart, and here’s my sixes. My goal is to get as close to what?",student,Teacher V taught me how to do this.,teacher,Teacher V is a –?,student,She [inaudible] for the day.,teacher,Because the former sixth grade teacher is now at West.,teacher,"I know she comes after school. Good. Let’s focus on this, okay. So let’s go back to our multiplication chart, and here’s my sixes. My goal is to get as close to what?",student,41,teacher,"41 as I can. Very good, Student J.",0,0,1,0,0
2817_148,Why?,teacher,Is it greater or less than five fifths?,student,Less.,teacher,"So yours is less than a whole and his is the whole? So is his the greater one? Good. Student C, what are you guys working on? You guys used all the cards now? Let's put them in one big pile so you can get more, more practice, that's all. You're just getting all the cards. Maybe this time it will be [inaudible]. Mix up the cards so we can get playing. Maybe your cards will change this time. That's all we can do is hope. Show him your cards. He has eight sixths and you have two fourths. Who won?",student,He did.,teacher,Why?,student,Because he has like two wholes and like—,teacher,Two wholes?,0,0,1,0,1
2846_138,"Okay? Put it up here so I can help you, so we can get [inaudible]. This is what I’m talking about. You keep cutting. See, you should have prisms. And how do you know the difference between prisms and pyramids?",teacher,What?,student,[Inaudible].,teacher,I would have left that – yeah. I would have left those titles on there.,multiple students,Yeah.,teacher,"Okay? Put it up here so I can help you, so we can get [inaudible]. This is what I’m talking about. You keep cutting. See, you should have prisms. And how do you know the difference between prisms and pyramids?",student,"Well, the pyramids -",student,A pyramid - [crosstalk].,0,0,1,0,0
28_4,Five hours per student. And how did you figure that out?,teacher,"All right, I think everything’s go for the cameras. We’re going to start off today just by doing our daily word problems. I’m going to pass these out real quick, and what I want you to do, if you would, is try to solve these problems. Remember just to try to use everyday kind of logic. Don’t try to think about it too much, just try your best on these, Okay? What I want you to do is probably just – why don’t we just stick with the second one where it says “Thursday Week Seven.” You don’t have to do the first one right now; we’ll come back to that. Let me just read this real quick while you’re kind of working on it. It says, “Miss W’s class read for a total of 450 hours this month. Mr. G’s class read two-thirds the number of hours read by Miss W’s class. Miss R’s class read twice the number of hours read by Mr. G’s class. If there were a total of 90 students in these three classrooms, what was the average number of hours read per student?” What was the average? Remember we were doing a little bit of averaging yesterday? So what you need to do is find the total of hours and divide that by the number of students. That will give you the average that each student read. So we have 450 hours this month that these 90 students read, right? So what is the average? They’re asking you, what is the average amount? Maybe they had one super student that read all 450 hours, right? And then the 89 other students didn't read at all. But they’re looking for the average. Go ahead.",student,The answer?,teacher,"Go ahead, what do you think?",student,I think the answer is five hours per student.,teacher,Five hours per student. And how did you figure that out?,student,"Because I just thought about it without the zeroes at the end, I thought about 9 times 5 equals 45, so that means 90 times 5 must be 450.",teacher,"Okay, so you see, you figured it out just kind of by thinking about it. Right? You said 9 times 5 is 45, so you knew – what was the next comment you said? You knew…",1,0,1,0,0
2921_209,"Anywhere else, Student L?",teacher,"I'm going to come over 9, down 9. Anywhere else I can place one whole, Student C?",student,Eight eighths.,teacher,"Come over 8, down 8. Anywhere else, Student N?",student,Ten tenths.,teacher,"Anywhere else, Student L?",student,Eleven elevenths.,teacher,"Student C, where is the last place I can place one whole?",0,0,1,0,REVIEW
2933_137,"Good. 60, right here, divide that into two groups – because that’s what we did, didn’t we? We divided it into two groups and got 30. You have two groups. Let me – can you – even though you have different ones shaded in, why am I saying you have two different groups? What are your two groups?",teacher,Okay. 30 plus 30 is 60. Relate it to my half. You listening? Your body should be facing him. How is that connected to my half? How many groups of 30 do you need to get 60? There’s that 2. I want to make sure I understand your thinking. What did you just write? Go ahead?,student,30 times 2 equals 60.,teacher,Okay. She took her 30 and multiplied it by 2 and it equals 60. I assume that’s correct. Can anybody else give me a number sentence?,student,60 divided by 2 equals 30.,teacher,"Good. 60, right here, divide that into two groups – because that’s what we did, didn’t we? We divided it into two groups and got 30. You have two groups. Let me – can you – even though you have different ones shaded in, why am I saying you have two different groups? What are your two groups?",student,"I got half of 60, but they’re not all in the same order.",teacher,"But you still, even though it looks like you have more groups, you have two groups. One group is shaded, and what’s the other group?",1,1,1,0,0
2935_211,"No, you'll get the opportunity.",teacher,"So you could do 2 times 4 equals 8, or the commutative property tells us we can do 4 times 2 equals what?",multiple students,8,teacher,"8. So you guys just worked with arrays. You worked with repeated addition, and you worked with multiplication. You ready for the next one? Let's look at this. Let's look at this. Who thinks they can come up – how many repeated addition are we gonna do? Wow. Everybody, huh?",student,Are we gonna do the whole thing by itself?,teacher,"No, you'll get the opportunity.",student,[Inaudible] part.,teacher,What part?,0,1,0,0,0
2964_320,"Take it from your work. Take it from your work. Yes, you may. Five. Nope. And six. Nope.",teacher,"What? Don’t say what to me. Say, “Okay, I’ll do it again, your majesty.”",student,[Inaudible].,teacher,Five. Nope. Six. Yep. Some careless mistake.,student,[Inaudible].,teacher,"Take it from your work. Take it from your work. Yes, you may. Five. Nope. And six. Nope.",student,Hmm?,teacher,"I got you guys both up there? I see Student J. Are you scared? Why, what am I going to do? Bite you, or something? Where’s five? One-third. Yep. Seven. Yep. Done. Can you get a drink? Yeah. How’d you do, Student L?",0,0,0,1,0
298_137,"Okay. We're gonna solve it, let's see. Before we start solving it, we need to think our steps so we know what to do next. What would we do next? Once we figure out what half of 19 is, what am I going to do next? Student S? What would I do next?",teacher,"Student Y, please put that away.",student,Okay.,teacher,Yes.,student,"I figured it out. It's $9.50. Well, it's 50 cents will be $1.00. 9 plus 9 is 18, so that will make 19.",teacher,"Okay. We're gonna solve it, let's see. Before we start solving it, we need to think our steps so we know what to do next. What would we do next? Once we figure out what half of 19 is, what am I going to do next? Student S? What would I do next?",student,I don't know.,teacher,"Cause you're not paying attention. Okay? And you don't have anything on your paper and I just wrote something in the ""E"" box and you have nothing on your ""E"" box so you need to write it right now.",0,0,1,0,0
299_245,Two. You finding area?,teacher,"No, I've got three rulers here. You work together as a team. You don't need to do your own sheets but if you've already started one – you share this one. You share this one. You do that one and then compare answers. Okay? Okay. Your base is 12. Show me how you measured the height. Let me see how you measure the height.",student,[Inaudible].,teacher,"You know what I saw? I saw you measure this side and this side, but this is base times height. To get base times height, you have to measure the base, then you have to measure how tall it is. Then, you divide it by –",student,Two.,teacher,Two. You finding area?,student,Is it length plus width times two?,teacher,"No. No. How would you do a rectangle? If you counted how many squares this way and how many squares this way, would you count one, two, three, four, five, six, seven.",1,0,1,0,0
3013_316,"All right, put the rulers down. [Inaudible].",teacher,"Student G, we’re waiting. Shh. All right, papers on the floor. Underneath the chair. Okay, rulers in front of you. All right, so what we’re working on today are the fractional parts of a number line, okay? So what I have in front of you should be – everybody should have in front of them two rulers. Student G. Student L. Did you take your rulers? Do you have rulers in your hand?",student,No.,teacher,"Can you bring the rulers back, please?",student,[Inaudible] rulers.,teacher,"All right, put the rulers down. [Inaudible].",student,[Inaudible].,teacher,"Accidents happen. Okay, so what we’re going to do is we’re going to determine the fractional parts of a number. Just leave it there for now. The fractional parts of a number line. And hopefully you’re going to be able to locate a point on a number line, okay? So instead of starting right away with number lines, I thought we could start with rulers. So I want you to turn your rulers, so you’re looking at both sides that have to do with inches. So on the white rules, what’s side should I be looking at? The red or the blue?",0,0,0,1,0
3015_390,Why tenths?,teacher,No. Student J?,student,Hundredths?,teacher,No.,multiple students,Tenths.,teacher,Why tenths?,student,I don't know. You can pick someone else for that one.,teacher,"No. Student J, remember we said it's like a mirror. So see how tens is right before ones here?",1,0,1,0,0
3019_617,"Nope. Okay, so stop. On three. Two. They had already mentioned that once you round, Student B, every number after the rounded number is a zero. So Student D, what would this be?",multiple students,[Crosstalk].,teacher,One hundred and?,multiple students,[Crosstalk].,student,- and three hundred forty-six.,teacher,"Nope. Okay, so stop. On three. Two. They had already mentioned that once you round, Student B, every number after the rounded number is a zero. So Student D, what would this be?",student,"Three hundred thousand,",teacher,"One hundred and – one hundred two thousand. I keep doing the “ands”. Remember how I keep telling you, you don’t do the “ands”? The ands are your decimals. So one hundred two thousand.",1,1,1,0,0
303_38,See if you can make any connections with that. See if you can figure out why we might have those three. Are there any others that have only those three? Use your number line. 28 does have it. What do you notice about 28 and 112? Do you notice anything?,teacher,I don't know. Figure it out. What is 112 divided by 7? Maybe they don't all have to be related to each other. What is that going to be? What is 112 divided by 7 going to be? Double check that we actually have the correct one up there.,student,16,teacher,Hmm?,student,16,teacher,See if you can make any connections with that. See if you can figure out why we might have those three. Are there any others that have only those three? Use your number line. 28 does have it. What do you notice about 28 and 112? Do you notice anything?,student,They're both even.,teacher,They're both even. See if you can notice that. See if you can figure it out. Let's take a look at our February calendar. We missed Valentine's Day yesterday. Let's see what pattern pieces we'll have today. Yesterday was the 14th. Let's see what shape we're going to have today. What do you think it's going to be?,1,1,1,0,0
313_524,"Nine. So he has nine as his base. Good. And then what did you do Student A? So he knew that 9 times what would equal 36, Student A?",teacher,What did you do for your base? Tell us about your base.,student,"My base is going up by three, across by three.",teacher,"Good. Length times width, right? Three by three. So boys and girls, what is three times three?",multiple students,Nine.,teacher,"Nine. So he has nine as his base. Good. And then what did you do Student A? So he knew that 9 times what would equal 36, Student A?",student,Four.,teacher,"Four. So he made it go up how high? Four stories high, right? One, two—can you show us? One is one line. Two—what is the other line. Two lines. Three—no, he didn’t—three lines, four. It was just that his marker was thick.",1,1,1,0,0
321_178,It's my microphone.,student,[Inaudible].,teacher,You think so? Why?,student,[Inaudible] leaving.,student,What is that right there around your necklace?,teacher,It's my microphone.,student,For what?,teacher,For the video. Okay.,0,0,0,1,0
373_175,That’s okay. Excuse me honey.,teacher,Okay. Let me help you.,student,Okay. So you [inaudible]?,teacher,"Excuse me, Student A.",student,"Oh, I’m so sorry.",teacher,That’s okay. Excuse me honey.,student,And it’s from liter [inaudible].,teacher,"Oops, sorry. Okay. Come over here.",0,0,0,1,0
4040_14,So what’s the pattern of a blue – is there really a pattern?,teacher,Why did you guys put a blue square? What do you think the blue square represents? Why would you put a blue square there? Student H?,student,"Because every single day, on Monday, it has no blue square.",teacher,No square?,student,But until [inaudible].,teacher,So what’s the pattern of a blue – is there really a pattern?,multiple students,Yes.,teacher,"I don’t know, because every time a blue square is there, at first you thought maybe you skip a day, and the next two days you get it, but if that was the pattern, why doesn’t 6 have a blue square? So you guys actually have still not figured out what that blue square might be, right? Let’s see. There actually is a blue square, but if you don’t know what it represents, why are you putting it there? You have to figure out what the blue square means, yes?",0,0,1,0,0
4064_272,Student H?,teacher,"Yes, because Student S, the reason why we’re doing that – one like this so quickly, is I can look at this right away and see that one-fifth is much smaller than one-half, okay? Okay? All right, I’m going to draw a giant – I was going to say timeline. I’m going to draw a number line, and we’re going to practice with the number lines, too because I know the number lines are a little bit more confusing than the fraction boxes. [Teacher writing on board]. So I want you to draw a number line also, and we’re going to do our zero benchmark.",student,[Sneeze].,teacher,Bless you. Our one benchmark. And what else do we need on here as a benchmark?,multiple students,Ooh.,teacher,Student H?,student,One-half.,teacher,"One-half. [Teacher writing on board]. Okay? So I want you to draw that in your math journal, okay? Draw it in your math journal. Draw a number line. Oh, never mind. I didn’t see it. Draw a number line, okay? And here’s the first one. Seven-eighths. [Teacher writing on board]. Five-eighths.",0,0,0,REVIEW,0
4067_555,"I have to separate. I have to break it apart. Well, we know that how many tens are in a flat?",teacher,"Okay, but let’s talk about where we place our numbers, too. Remember, we’re saying we have six groups, okay? And we know 126 in base-ten is a flat, two tens, and six units. And what I’m asking you, is can I take this flat and put – give each one of my six a flat? Can I do that?",student,No.,teacher,"No, so I have to do what to this, now?",student,Ah … separate it?,teacher,"I have to separate. I have to break it apart. Well, we know that how many tens are in a flat?",student,Ten.,teacher,"Ten. So ten tens, plus two tens is how many, Student J?",1,1,1,0,REVIEW
4074_273,"Okay, you're almost, almost, almost there. We just learned it. Student W?",teacher,Okay. And then what else did you do? How did you know where to – how to line your numbers up? How did you know who to –,student,The decimal is sort of like your marker so you know.,teacher,It is. So what do we do with the decimal?,student,We line the two decimals up so they're on top of each other.,teacher,"Okay, you're almost, almost, almost there. We just learned it. Student W?",student,You line up the dot and give it all you got.,teacher,"Yes, you line up the dots, give it all you got. Great job. Go ahead and add it up for us. Great. So all of your decimal points should be lined up in a row. Great job.",0,0,0,1,0
4078_492,If I don’t have your paper by now you can keep yours.,student,I’m not done yet.,teacher,Exit question?,teacher,To your seat. Exit question. Excuse me; please remain in your seat. The exit question was – if I do not have your paper by now you can – everybody should have finished the exit question by now. Everyone should have finished the exit question by now.,student,Here you go Mr. S.,teacher,If I don’t have your paper by now you can keep yours.,teacher,So we have the – we have two – the question that we have here is this: 0.125 times point-what? I mean 2.3. That is what we have. How many decimal places the first one has?,student,Three.,0,0,0,1,0
4093_14,So we can erase this candidate number and go ahead and put it in our number 4. What else does that tell us?,teacher,"So this can be a 4 or a 3, and this can be a 4 or a 3, but what do we already have here?",multiple students,3,teacher,So what does that already tell us about this square?,multiple students,It has to be a 4.,teacher,So we can erase this candidate number and go ahead and put it in our number 4. What else does that tell us?,multiple students,The other is the 3.,teacher,"Since we have a 4 right here, we know we can’t have what right here?",0,0,1,0,0
4151_114,What kind of system do we have in America? It’s the base? Base?,teacher,"Okay, if there was a remainder one, if he was correct, this would have to be the problem, wouldn’t it? Because 300 can go into 2,400 how many times? Eight times. Right 300 times eight is 2,400. That would leave a remainder of one. In this problem the one is in the ones place. But if we’re looking at 300 times what is going to give me close to 2,500 but not go over, it’s 300 times what? Eight, which would be 2,400 with one in the hundreds place. You have a good answer? Read it.",student,[Inaudible] has a remainder of one but the one is in the hundreds place so it would be a remainder of 100. His mistake is he put the remainder one and not 100.,teacher,"Good explaining. Very good. All right, anybody else want to share?",student,"He is wrong because if you write the one under the five, the one is in the hundreds place and makes the remainder in 2,500 divided by 300 equals eight remainder 100.",teacher,What kind of system do we have in America? It’s the base? Base?,student,Ten.,teacher,Everything goes in like powers of ten. We have the tens or hundreds or thousands. It’s all a base 10 system. Does anybody else want to share? Student D.,0,0,1,0,0
4161_356,"All right, I’m coming around with – you see these wonderful notes that you guys have been taking? And Student R is going to help me with these. We’re getting back to equivalent fractions. And Student M, thank you my dear. You started something new, and I know that we’re going to come up with some great things to talk about with 3D figures. I’m impressed my dear, my dear, my dear. [Teacher handing out items].",student,[Inaudible] looks like it’s sort of [inaudible] out.,student,[Inaudible].,teacher,"[Inaudible] can have a seat, though. [Crosstalk]. [Students returning to seats]. Shh. In three. Two.",multiple students,One.,teacher,"All right, I’m coming around with – you see these wonderful notes that you guys have been taking? And Student R is going to help me with these. We’re getting back to equivalent fractions. And Student M, thank you my dear. You started something new, and I know that we’re going to come up with some great things to talk about with 3D figures. I’m impressed my dear, my dear, my dear. [Teacher handing out items].",student,Thank you.,teacher,"Student J. Student J. You’re doing a good job on your notes. Student C, keep working hard, okay? Student A, great job. Student A, I’m impressed.",0,0,0,1,0
4191_340,Shh. It’s a good idea to have one person keep score for everybody.,teacher,Ah.,multiple students,[Crosstalk].,teacher,"Bottoms. You got be on your bottom, Student F.",student,[Inaudible]. [Students playing game].,teacher,Shh. It’s a good idea to have one person keep score for everybody.,student,"Hey, we have to pick a [inaudible] out.",student,"Oh, yeah.",0,0,0,1,0
4205_357,Are we getting the idea?,teacher,Go ahead.,student,I did three and one eighth which is three [inaudible].,student,Here.,student,"I already have it. I did [inaudible]. Three and one eighth. And then I did one and three fourths which is [inaudible]. One and three fourths. And then I made the 4 into an 8 because 4 times 2 is 8. And then I added them, and I got one, two, three, four and – [inaudible]. I got four and seven eighths.",teacher,Are we getting the idea?,multiple students,Yes.,teacher,Now let's do the opposite. So let's do three and a half – show me three and a half.,0,0,0,1,0
4248_190,"- nine forty, down to a thousand? Count with me. Ten.",teacher,"[Teacher writing on board]. Now that I have forty, I can jump right there.",student,Plus.,teacher,"Because I know what it takes to go from 40 to my next number. Student M, watch that waving that hand, there. You’re bumping people in the head. And if you do bump someone, make sure you say sorry so they know it was an accident. Student C? How many tens is it going to take to go from -",student,Oh.,teacher,"- nine forty, down to a thousand? Count with me. Ten.",student,[Inaudible].,teacher,Ten.,0,0,0,REVIEW,0
4333_278,"Okay, looking the model, each person gets one of these. What is this?",teacher,Each person gets one twelfth.,student,Out of 12. He didn't get one.,teacher,"One out of 12 because there are 6 of them, right?",student,I don't get it.,teacher,"Okay, looking the model, each person gets one of these. What is this?",student,One twelfth.,teacher,One twelfth.,0,0,1,0,0
4411_73,"And see where you missed it, yeah. Now, I don’t know the correct answer, so I can’t – I can’t even tell you what the right answer is. We’re going to find out, though. The other part of that center – and I don’t care which question you start with. Students find all numbers that can be evenly divided into 100 and show the different groupings. Meaning, can two divide into 100?",teacher,"21. You have to keep up with it though, yeah? We had an exemplar kind of like this. Do you remember that one where we had to add a whole bunch all the way to 100 or something?",teacher,[Inaudible].,teacher,"Oh, yes, because if you – if you got confused, you at least want to be able to start somewhere.",teacher,"And you could go back – if it’s written, you could go back and see where –",teacher,"And see where you missed it, yeah. Now, I don’t know the correct answer, so I can’t – I can’t even tell you what the right answer is. We’re going to find out, though. The other part of that center – and I don’t care which question you start with. Students find all numbers that can be evenly divided into 100 and show the different groupings. Meaning, can two divide into 100?",student,Yes.,student,[Inaudible].,0,1,0,0,0
4418_307,"Manipulatives. Hold on. Group one, I’m not going to tell you again. Lower your voices otherwise you guys are not going to be able to play the game. Go ahead, Student S.",teacher,"10. Let’s see if we can create a decagon. Nice. High five. Can I get a real high five? Excellent. All right. So what you’re going to do in here is you’re going to read the different things to whoever is going. So actually Student I, you want to be the reader?",student,Yeah.,teacher,"So Student I, you can be the reader and you’re going to read the cards. Do not show them the picture or answer. Go ahead and read that part. Student J, keep trying to make your decagon. [Side Conversation] All right. Did anybody have stuff to make a decagon? Let’s see. How many sides do you have? 1, 2, 3, 4, 5, 6, 7, 8, 9, 10. High five Student L. Good job. Group one, we’re too loud. Excellent job. So we take a look at Student L’s shape right here. She created her decagon and she designed it to be different and everything. I did not say it had to be a regular one. In fact let’s go ahead and take a picture of Student L’s decagon. She did a great job of creating her decagon. Good job. That’s a lovely decagon. Now what we’re going to do is go ahead and get together again. Group one, I need you to lower your voices. 3, 2, 1, 0. What we’re going to do now is have our math test. I’m going to pas out the math test to you. You’re going to use your pieces and use images to create your shapes. Put them in a little space so they’re all together. Good. Lower our voices. All right. So polygons activity. Can I have a volunteer read the directions? Student S?",student,[Inaudible].,teacher,"Manipulatives. Hold on. Group one, I’m not going to tell you again. Lower your voices otherwise you guys are not going to be able to play the game. Go ahead, Student S.",student,[Inaudible].,teacher,"Good job. So the question says Anna wants to create a quadrilateral that is also parallel, and Eldo wants to create a polygon that is not quadrilateral and does not possess a parallelogram. Describe how someone can create the polygons. We’ve got to think about it. Anna wants to create a quadrilateral that’s parallel. So think about it. What kind of shape could Anna create?",0,0,0,1,0
4420_76,Ninety -,teacher,"Ninety, divided by five?",student,[Inaudible].,student,[Inaudible].,student,[Inaudible].,teacher,Ninety -,student,[Inaudible].,teacher,- divided by five. How many fives would there be in nine?,0,0,0,1,0
4470_416,"Negative five, one. [Teacher writing on board]. [Inaudible].",multiple students,[Inaudible]. [Shooting].,student,"Oh, that [inaudible].",teacher,Shh. Very good. Student G?,student,"Negative five comma, one?",teacher,"Negative five, one. [Teacher writing on board]. [Inaudible].",student,[Inaudible].,student,And make sure [inaudible]?,1,0,0,0,0
4478_959,Do you know why that was multiplying fractions? What were you doing? That wasn’t multiplying fractions. That was finding equivalent -,student,"Yeah, you did.",student,Yeah.,student,Yeah.,student,So most of us actually know when we get help.,teacher,Do you know why that was multiplying fractions? What were you doing? That wasn’t multiplying fractions. That was finding equivalent -,student,Equivalent fractions.,teacher,And how do we find equivalent fractions?,0,0,1,0,1
4478_96,Remember that?,teacher,"Now that we are going to begin multiplying fractions, we’re going to start thinking of this “X”. This multiplication symbol as something else. Not times. It’s still multiplication, but we’re not going to think of it as times when we read it out loud, okay? No longer times. I told you when we worked with multiplication at the beginning of the year we thought of this symbol as something – we didn’t do it often – but we thought of this symbol as saying – anybody remember? Student E?",student,[Inaudible].,teacher,"No, groups … of.",multiple students,Of.,teacher,Remember that?,student,Yeah.,teacher,"Just groups of, right? So I would read this as three groups of -",0,0,0,1,0
4485_53,"It’s on the board, one-fourth divided by 3.",teacher,Love it. Isn’t that amazing? I love it. I love that you guys are getting this quickly. Did you record it in your journal?,student,No.,teacher,Record the problem. Show me what one-fourth divided by 3 looks like. I love that you guys are quick with these.,student,One-fourth divided by what?,teacher,"It’s on the board, one-fourth divided by 3.",student,[Inaudible].,teacher,That’s good. Thank you.,1,0,0,0,0
4562_356,"I'm about to tell you who you're going to be with. It's totally random. There are going to be five groups of four people because I will be in a group. Okay? I don't know yet. Here we go. So you need this. The first name I call will be the scribe. You will be the person who takes down the data, okay? The five groups of four. The next thing you're going to do, everybody, let's see. You will need your function table, I mean your graph because you are going to work through this and see how you can graph. You're going to have two people, all right? We're going to keep them Val and Tino for their names at least, okay?",teacher,But you're not going to be a girl group.,student,Oh.,teacher,Exactly. [counts 1-19] Excuse me?,student,[Inaudible].,teacher,"I'm about to tell you who you're going to be with. It's totally random. There are going to be five groups of four people because I will be in a group. Okay? I don't know yet. Here we go. So you need this. The first name I call will be the scribe. You will be the person who takes down the data, okay? The five groups of four. The next thing you're going to do, everybody, let's see. You will need your function table, I mean your graph because you are going to work through this and see how you can graph. You're going to have two people, all right? We're going to keep them Val and Tino for their names at least, okay?",student,What is Valentino?,teacher,That's a name. Valentina could be a girl. Val could be a girl. Tino could be the guy.,0,0,0,1,0
457_226,"Okay, that’s one-hundredth. Now, what about this one over here? How you read that?",multiple students,Yes.,teacher,"Okay. Now, if I have this, right, how you read that?",multiple students,One-thousandth.,multiple students,One-hundredth.,teacher,"Okay, that’s one-hundredth. Now, what about this one over here? How you read that?",multiple students,One-thousandth.,teacher,"Okay, you said one –",1,0,1,0,0
4615_124,"Here we go. Read through all of the choices. If you do not have the – you know what? This is a great time. If I’m writing them, if you do not have those, I’m just thinking that maybe you could write the definition while I’m writing the examples.",student,I’d fail the test.,student,I’d fail it.,teacher,Yikes! Question number one is always worth more.,student,[Inaudible].,teacher,"Here we go. Read through all of the choices. If you do not have the – you know what? This is a great time. If I’m writing them, if you do not have those, I’m just thinking that maybe you could write the definition while I’m writing the examples.",multiple students,[Background chatter]. [Inaudible].,student,Ooh. Ooh. Ooh.,0,0,0,1,0
4628_223,"Wait, wait, wait. I want Student E to be on the same page as you. So give him a second. Circle one whole in your representation. Circle the whole thing, one whole. One whole. The whole rectangle. One whole. I'm not asking you to circle the number, Student E. I'm asking you to circle the actual piece that represents one whole. Not the number one, the whole piece that shows me one whole. Come on. I said to circle it. I didn't say to shade it in. So what's a G? If this is a whole, what's G?",teacher,Where does it end? Where does it end?,student,Two.,teacher,Where's two?,student,Right over there.,teacher,"Wait, wait, wait. I want Student E to be on the same page as you. So give him a second. Circle one whole in your representation. Circle the whole thing, one whole. One whole. The whole rectangle. One whole. I'm not asking you to circle the number, Student E. I'm asking you to circle the actual piece that represents one whole. Not the number one, the whole piece that shows me one whole. Come on. I said to circle it. I didn't say to shade it in. So what's a G? If this is a whole, what's G?",student,Half?,teacher,You fell for the trick.,0,1,1,0,0
4632_11,Eighths.,student,Sixths.,teacher,What else?,multiple students,[Crosstalk].,student,Eighths.,teacher,Eighths.,student,Twelfths.,student,One-half.,1,0,0,0,0
4668_156,"Read the beginning – read the beginning, again.",student,Brent’s Fruit Shake.,student,[Inaudible].,teacher,"We have a recipe for Brent’s Fruit Shake, but they wanted you to figure out how much is – of each ingredient is needed for what?",student,For …,teacher,"Read the beginning – read the beginning, again.",student,Four people.,student,Twenty-eight people.,0,0,0,1,0
470_503,And your first fraction?,student,Middle stack?,teacher,"Yeah, the yellow stack, write the fraction for the yellow stack. Then you can go show how you simplified. Hold on, just write your fraction, because Student D turn is next.",teacher,Thank you.,student,I already did.,teacher,And your first fraction?,teacher,I want you to divided by here.,teacher,"By, two, three.",0,0,1,0,0
4727_384,[Inaudible] to everybody. Put your name on these.,teacher,Shh.,student,[Inaudible].,teacher,"All right, Student I.",student,[Inaudible].,teacher,[Inaudible] to everybody. Put your name on these.,student,[Inaudible].,teacher,"One of one. Okay, hurry up, Student R.",0,0,0,1,0
4727_653,[Inaudible] later.,teacher,"All right, so A - I want you to write this down in your notebook.",student,I can’t.,teacher,Or on a piece of paper.,student,[Inaudible]. [Silence].,teacher,[Inaudible] later.,student,Yep.,teacher,"Shh. So A times B, plus C is the same thing as A times B …",0,0,0,1,0
4732_114,"Student B, do you have a larger number or a smaller number?",teacher,"So do I have one line of symmetry here? Number it number one, then continue on to see if you have anymore. No, you may not change your number, Student J. Do not change your number on your board, boys and girls. If you have a different answer, write it underneath. Finish up. We’re moving on. So you’re numbering them as you fold them, Student C, right?",student,Yes.,teacher,"You’re numbering the lines. You’re not supposed to be drawing it. You’re supposed to be folding it. This is line number one. This is line number two. Keep going and number your lines. Turn it over on the other side because you drew lines. Talk to your neighbor. I took it. [Inaudible]. Is this the one I told you? Talk to your neighbor. You’re going to have to come up and present. Make sure you understand and are in agreement. Okay. So if you’re still doing it, keep working quietly. Raise your hand if you now have a different answer on your board than you started with. Student A, do you have a larger number or a smaller number?",student,Smaller.,teacher,"Student B, do you have a larger number or a smaller number?",student,Smaller.,teacher,Student A?,0,0,1,0,1
4760_527,Plus?,teacher,Plus?,multiple students,Four dollars.,teacher,Plus?,multiple students,Five dollars.,teacher,Plus?,multiple students,Six dollars.,teacher,Plus?,0,0,1,0,0
478_35,"She forgot two pints and as soon as she sat back down in her seat she said it, “Oh, I forgot two pints.”",teacher,Here you go.,student,Oh.,teacher,"Go ahead, go fix it. Good job recognizing your mistake. Did anybody else recognize Student P’s mistake? What, Student M? What was her mistake?",student,She forgot two pints.,teacher,"She forgot two pints and as soon as she sat back down in her seat she said it, “Oh, I forgot two pints.”",student,Was it she didn’t have no pints or wrote – she just put one?,teacher,She just put one instead of putting two.,1,1,0,0,0
