OBSID,target_comb_idx,target_text,ctx_-4_speaker,ctx_-4_text,ctx_-3_speaker,ctx_-3_text,ctx_-2_speaker,ctx_-2_text,ctx_-1_speaker,ctx_-1_text,ctx_0_speaker,ctx_0_text,ctx_1_speaker,ctx_1_text,ctx_2_speaker,ctx_2_text
2565,2565_32,How come you started with nine times three?,teacher,A rectangular prism.  Nine inches.  Six inches.  Four inches. So say that again?,student,I took nine times three was 27.  Then I did 27 and 27 to get 54.  Then [inaudible] times [inaudible].,teacher,And 54 times?,student,Four.  Equals [inaudible].,teacher,How come you started with nine times three?,student,This is what I did.,teacher,How come you started with nine times three?
992,992_312,Good explanation.,teacher,Okay.,student,I said – [inaudible].,student,[Inaudible].,student,Because – [inaudible].,teacher,Good explanation.,multiple students,[Inaudible].,multiple students,[Inaudible].
742,742_187,"You got some, okay.  Do you need tape?  You have tape.",teacher,"Who needs tape?  Raise your hand.  I’ll come to you and give you a piece.  A piece for you.  This tape doesn’t rip very nicely.  There you go, a piece for you.  You’re gonna need two pieces, one for each partner.  If you don’t have one, I’m coming around.  A piece for you.  Use the flatter side, okay?  A piece for you.  Thank you.  A piece for you.  A piece for you.  A piece for you, Student H and Student R.",student,We already did it.  I did it with a marker.,teacher,"I want you to do it with the tape, please, okay?  You guys got – do you have tape?  Student D and Student R, do you have tape?  One for you.  One for you.  Do you guys need tape?",student,We got –,teacher,"You got some, okay.  Do you need tape?  You have tape.",student,This tape is crooked.,teacher,"What happened, Student T?  Just put it on the desk.  We’ll put it up in a minute.  Okay, so see the flat side right here? Just use that, okay?"
2965,2965_58,"Which is larger, one half or one fourth?  What did Student D say?  Let’s say it together.  The bigger the denominator the smaller the fraction.  So would you rather have half of my money or a fourth of my money?",teacher,"Stays the same.  Very good.  We know when we multiply we need to find a common denominator, but this morning for number two, who can read the problem with the correct answer?  Student J?",student,Seven eighths minus five eighths equals two eighths.,teacher,"Perfect.  Good.  Student D, look at the next one.  I’m so glad you said what you said about the word of the day today, because this says, “Which is larger?”  Can you read me those fractions?",student,One half or one fourth.,teacher,"Which is larger, one half or one fourth?  What did Student D say?  Let’s say it together.  The bigger the denominator the smaller the fraction.  So would you rather have half of my money or a fourth of my money?",multiple students,Half.,teacher,"Because if you have half of something, how many people are you sharing with?"
321,321_178,It's my microphone.,student,[Inaudible].,teacher,You think so?  Why?,student,[Inaudible] leaving.,student,What is that right there around your necklace?,teacher,It's my microphone.,student,For what?,teacher,For the video.  Okay.
632,632_178,"Difference.  All right, she’s in the back with Student H for the finals, everybody clap for the finals.  It’s the finals!  Hands back.  Now, for your problem, to break the finals up in the game, I’m going to give you three numbers, without any pencil, paper or board, and you’re going to multiply them together and tell me the product.  The product is the answer in multiplication.  For example, if I said 2 x 2 x 2, you would think in your head, 2 x 2 is 4 and 4 x 2 is 8, right?  So I’m going to give you three numbers to multiply and you tell me the product.  Don’t tell me the one for the first two numbers, don’t say it till you’ve done all three.  No hesitating.  So don’t say it until you’re sure.  Ready?  You understand what we’re doing?  3 x 3 x 4, go!",teacher,"Quotient, she’s on a roll.  She’s ready for Price Is Right, she’s really on a roll.  Hands back, I’m so proud.  Nice smile, Student E.  All right, ready?  Okay, I’m going to repeat one that we had a little while ago.  You see this problem down here?  6 x 8 equals 8 x 6?",student,Commutative.,teacher,"Commutative, excellent.  Student A, hands back.  This one we had way in the back about five minutes ago.  What do we call the answer in a subtraction problem?",student,Difference.,teacher,"Difference.  All right, she’s in the back with Student H for the finals, everybody clap for the finals.  It’s the finals!  Hands back.  Now, for your problem, to break the finals up in the game, I’m going to give you three numbers, without any pencil, paper or board, and you’re going to multiply them together and tell me the product.  The product is the answer in multiplication.  For example, if I said 2 x 2 x 2, you would think in your head, 2 x 2 is 4 and 4 x 2 is 8, right?  So I’m going to give you three numbers to multiply and you tell me the product.  Don’t tell me the one for the first two numbers, don’t say it till you’ve done all three.  No hesitating.  So don’t say it until you’re sure.  Ready?  You understand what we’re doing?  3 x 3 x 4, go!",student,36?,teacher,"Correct.  3 x 3 is 9, 9 x 4 is 36, so she gets first place and second place, let’s give them a hand.  [Applause]  She’s getting a purple Mardi Gras necklace for March, and he’s getting a win a prize ticket, good job.  Come on up, Student H.  Sssh.  I’m proud of all the people who answered with good questions, and we’ll be doing a lot more of that review game as the year goes on. Okay, sitting up straight and tall.  I’m going to erase this and now go into our lesson for today, since we had our big review. Hopefully a lot of the reviewing I just did will start to stick in the head as we go through this day by day, so we won’t get mixed up with all the vocabulary we’ve learned in 4th grade.  And I know you’ve learned a lot, and it can happen sometimes that it gets confusing.  But we’ll do so many reviews that you’ll know your words really well. Okay, so going back to our essential question, our focus for today, Student A, read.  How…"
2573,2573_193,"Yes.  Our unit is a centimeter.  Does anybody else have another strategy?  Okay.  All of these are different strategies, but they all work better than counting each individual square.  This is what you’re going to do for me right now. You and a partner – people are not listening.  Flip your paper over.",teacher,It was 13 times 13.  So she decided to multiply 13 times 13 and get 169.  169 what?,student,Centimeter squares.,teacher,"169 centimeter square is the way that it is written, centimeter square.  Do we want to say unit square?  No.  Do we know what our unit is?",multiple students,Yes.,teacher,"Yes.  Our unit is a centimeter.  Does anybody else have another strategy?  Okay.  All of these are different strategies, but they all work better than counting each individual square.  This is what you’re going to do for me right now. You and a partner – people are not listening.  Flip your paper over.",teacher,You will notice you have another side.,teacher,"No, I’m not going to make you trace anybody’s foot.  That would be cruel and unusual punishment, and if you’ll recall from our conversation about the Bill of Rights there is an amendment that says, “No cruel or unusual punishment or excessive bail or fines imposed.”"
4191,4191_340,Shh.  It’s a good idea to have one person keep score for everybody.,teacher,Ah.,multiple students,[Crosstalk].,teacher,"Bottoms.  You got be on your bottom, Student F.",student,[Inaudible].  [Students playing game].,teacher,Shh.  It’s a good idea to have one person keep score for everybody.,student,"Hey, we have to pick a [inaudible] out.",student,"Oh, yeah."
13,13_32,"Okay, we’re just looking at the surface. So for example this paper has a surface and you can see the number of squares here, right? Okay? But if I turn it this way, suppose you can look at the paper as flat from this angle, do you see any? If this is two-dimensional, you’re not supposed to see any height, right? But it has a surface, but there’s no volume.  And last week I think we said that volume has to do with what kind of objects?",teacher,"These are the same.  So can I say that they have the same surface, or the area are the same? Now, but if you look at the two boxes, do they hold the same number of cubes?",multiple students,No.,teacher,"So can I say that the volume is different, okay? This one versus this one.  But what about the surface? Just the bottom.  We’re just looking at the bottom.  The same, right? So area is the same but volume is different.  So if we look at surface, are we looking at the inside, how many cubes it can fit in here?",multiple students,No.,teacher,"Okay, we’re just looking at the surface. So for example this paper has a surface and you can see the number of squares here, right? Okay? But if I turn it this way, suppose you can look at the paper as flat from this angle, do you see any? If this is two-dimensional, you’re not supposed to see any height, right? But it has a surface, but there’s no volume.  And last week I think we said that volume has to do with what kind of objects?",student,Three-dimensional.,student,Three-dimensional solids.
524,524_369,"Oh, I’m sorry, I still have it on the arrow.  Here.  Ah, nice.",teacher,"Show me a right angle, you guys.",student,"Right angle, there’s two right here, elbow and fingers.",teacher,"Student A is making two, elbow and fingers.",student,"Oh, Miss P.",teacher,"Oh, I’m sorry, I still have it on the arrow.  Here.  Ah, nice.",student,"It’s neither, I think.",teacher,"Okay, you guys, while Student D is making his decision, think about congruent, what does congruent mean?"
2128,2128_143,"Miss D, would it be easier for you to have them sit at this group and you can pull your chair over?",teacher,"The yellow folder.  So why isn't yours in the yellow folder? Student C, can you put this paper in your desk 'cause I think I'm gonna sit at your desk.  Is that all right with you if I sit at your desk?",student,Yeah.,teacher,"Thanks.  All right my friends.  Will you get the paper out, the white lined paper for everyone?  Student D, where you supposed to be?  Three goes to one.  You should know that by now.",student,[Inaudible].,teacher,"Miss D, would it be easier for you to have them sit at this group and you can pull your chair over?",teacher,Here you go.  That's where Miss D's gonna sit.  Who else is in your group?,student,[Inaudible].
335,335_258,"Also, another way to think of it is the numerator tells us how many are shaded in or how many are un-shaded.  How many groups are un-shaded?",teacher,"Student N, you have to move over.  Stand over here.",student,"What's the fraction, for Student N?",teacher,"This is where your teaching comes in, Student C.",student,"Okay.  So since we know that we had half, since we had five already [inaudible], how many more do we need to get to eight?",teacher,"Also, another way to think of it is the numerator tells us how many are shaded in or how many are un-shaded.  How many groups are un-shaded?",teacher,So let's start – go ahead.,student,[Inaudible].  One group and we had eight.
2964,2964_320,"Take it from your work.  Take it from your work.  Yes, you may. Five.  Nope.  And six.  Nope.",teacher,"What?  Don’t say what to me.  Say, “Okay, I’ll do it again, your majesty.”",student,[Inaudible].,teacher,Five.  Nope.  Six.  Yep.  Some careless mistake.,student,[Inaudible].,teacher,"Take it from your work.  Take it from your work.  Yes, you may. Five.  Nope.  And six.  Nope.",student,Hmm?,teacher,"I got you guys both up there?  I see Student J.  Are you scared?  Why, what am I going to do?  Bite you, or something?  Where’s five?  One-third.  Yep.  Seven.  Yep. Done.  Can you get a drink?  Yeah.  How’d you do, Student L?"
2950,2950_14,"We’re taking a whole number?  This is a whole number, Student C?",teacher,"Denominator.  Because we’re taking, what, Student J?  What are we taking here in this example?  We’re taking?",student,[Inaudible].,teacher,What’s that?  We’re taking a whole what?,student,Number.,teacher,"We’re taking a whole number?  This is a whole number, Student C?",student,"Oh, I thought you were asking about what [inaudible].",teacher,"Well, if you raised your hand, that would help in the process, okay?  I can anticipate your response.  What was that, Student C?"
2158,2158_32,"One.  When we look at these, how many directions do we see the lines going in?",teacher,"Okay, we haven’t gotten there yet so just hold on a second.  Is there anyone that doesn’t get why this is three-fifths? Okay, Student M, do you see one, two, three, four, five? Do you see that?  Okay, so of the five, one, two, three sections are shaded in.  You're not looking at any of this stuff.  You're only looking at which ones we drew these lines through.  So do you see that that was three?  You sure?  So you understand why this fraction, three-fifths, is representing that?  Okay.  Now what we want to look at would be the number of squares that were shaded in like this really – where you see them crossing.  You see some lines going this way and then some going this way.  When we look at these, how many directions do we see the lines going in?",student,One.,teacher,"One direction.  When we look at these, how many directions do we see the lines going in?",multiple students,One.,teacher,"One.  When we look at these, how many directions do we see the lines going in?",student,Twice.,multiple students,Two.
247,247_250,Maybe not on number two and number four but you could do it with number three correct? Multiple Students:    Yeah.,teacher,Right but what else are you going to have to measure?  Student?,student,[Inaudible],teacher,These down here.  You need to get the measurement there.,student,I don’t think you’ll be able  to do that with number two and number four.,teacher,Maybe not on number two and number four but you could do it with number three correct? Multiple Students:    Yeah.,teacher,And then get the actual measurement of each maze.  I want you to find your partner.  You may work either at your desk or somewhere around the room.  You may use your whiteboard to work with.  Raise your hand if you do not have a ruler to take home with you?  That you can take home?  I’m gonna be collecting these rulers back but if you don’t – that’s in your school supply list so if you don’t have a ruler to take home with you your homework is gonna require you to use a ruler.,student,[Inaudible].
522,522_188,"Hey, Student J, sit right here so you're closer.",teacher,"Here, sweetie.  Student MS, you're getting a lab in about two seconds flat.  I guarantee it.  Okay?  Student I, sit right next to Student Z.",student,Okay.,teacher,"Do you have a dry erase marker?  Okay.  Now, here's what I want you guys to do.  I want you to come up and I want you to do the first – or one person to come up and do the first one. You're gonna write it.  We could drag these numbers, but it's really – it's very temperamental, so we're just gonna draw – we're gonna write it.  Okay?  So you're gonna come up, and you're gonna show me the associative property and remember, this is a balance.  Okay?  So you gotta remember that part.  All right  Student B, come on.",student,"Hey, it doesn't work.",teacher,"Hey, Student J, sit right here so you're closer.",student,My desk?,teacher,Yeah.  Okay.  Please hush.  I don't need your hands up; why are you hands up?
3015,3015_390,Why tenths?,teacher,No.  Student J?,student,Hundredths?,teacher,No.,multiple students,Tenths.,teacher,Why tenths?,student,I don't know.  You can pick someone else for that one.,teacher,"No.  Student J, remember we said it's like a mirror.  So see how tens is right before ones here?"
4660,4660_301,That is correct.,teacher,"A, 889.  Number four, which of the following numbers is less than 468,112?  Less than.  Student N?",student,D.,teacher,D.  This goes right along with calendar this morning.  What type of polygon has four sides of equal length and four right angles?,student,I wrote down a square.,teacher,That is correct.,student,"And I kind of guessed on that one, because I wasn’t really sure.",teacher,"I guess it must have been an educated guess, because you know what a square is."
251,251_78,They are.  Group six?,teacher,"Okay, so it’s four by five layers on the bottom?",student,"And, then the height is two.",teacher,"Okay, are they correct?",student,Yes.,teacher,They are.  Group six?,student,Six cubic.,teacher,We arrived at six cubic units.  Can someone at that group described how you arrived at six cubic units?
517,517_363,What's the minimum?,teacher,Yes.  What is the very bottom of the bar graph?  What's your first [thing here]?,student,Zero.,teacher,"Always zero.  And then – wait a minute.  And then some of you have a lot of M&Ms. S of the small M&Ms, you've got a lot, right.  What's the minimum?",student,Hmm?,teacher,What's the minimum?,student,6.,teacher,What's the maximum?
4615,4615_124,"Here we go.  Read through all of the choices.  If you do not have the – you know what?  This is a great time.  If I’m writing them, if you do not have those, I’m just thinking that maybe you could write the definition while I’m writing the examples.",student,I’d fail the test.,student,I’d fail it.,teacher,Yikes!  Question number one is always worth more.,student,[Inaudible].,teacher,"Here we go.  Read through all of the choices.  If you do not have the – you know what?  This is a great time.  If I’m writing them, if you do not have those, I’m just thinking that maybe you could write the definition while I’m writing the examples.",multiple students,[Background chatter].  [Inaudible].,student,Ooh.  Ooh.  Ooh.
993,993_103,The one-half part of the formula.  Excellent.  Student L?,teacher,Area of a rectangle.  Student B?,student,[Inaudible].,teacher,"Area of a triangle.  Student B, what is it so important to remember on the area of a triangle?",student,The one-half?,teacher,The one-half part of the formula.  Excellent.  Student L?,student,[Inaudible].,teacher,Compound figures.  That was a tough one for us.  Student L?
2198,2198_149,"The tenth number should be, let’s see, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10; 250.  Right?  That makes sense; 25 times 10.  The zero’s in the one’s place now, right?  Ten times as much; 250.  What should be the twentieth number?  I don’t have to count, but I should see – yeah?",teacher,"I see, I see.  If I know that I’m counting by three I expect to see the tenth number should 30 and the twentieth number should be 60.  Three, 30, 60 and double that 60.  I can double this to get to – what can I double 60 to get to?",student,Ninety.,teacher,One hundred and twenty.,student,"A hundred and twenty.  So 120 should be up there if I kept going, right?  Watch; 111, 114, 117, 120.  Thanks for the help in getting this completed.  So I’m looking at landmark multiples; the tenth one, the twentieth one, the thirtieth one.  Three times 30 is 90.  How can I check this one really quick?  I skip counting by 25.  What should the tenth number be?  I’ve got two hands up; two people thinking.  Student L?",teacher,"The tenth number should be, let’s see, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10; 250.  Right?  That makes sense; 25 times 10.  The zero’s in the one’s place now, right?  Ten times as much; 250.  What should be the twentieth number?  I don’t have to count, but I should see – yeah?",student,Four-hundred [twenty-five].,teacher,No.  What should be the twentieth number?  Double that 250.
3013,3013_316,"All right, put the rulers down.  [Inaudible].",teacher,"Student G, we’re waiting.  Shh.  All right, papers on the floor.  Underneath the chair.  Okay, rulers in front of you.  All right, so what we’re working on today are the fractional parts of a number line, okay? So what I have in front of you should be – everybody should have in front of them two rulers.  Student G.  Student L. Did you take your rulers?  Do you have rulers in your hand?",student,No.,teacher,"Can you bring the rulers back, please?",student,[Inaudible] rulers.,teacher,"All right, put the rulers down.  [Inaudible].",student,[Inaudible].,teacher,"Accidents happen.  Okay, so what we’re going to do is we’re going to determine the fractional parts of a number.  Just leave it there for now.  The fractional parts of a number line.  And hopefully you’re going to be able to locate a point on a number line, okay? So instead of starting right away with number lines, I thought we could start with rulers.  So I want you to turn your rulers, so you’re looking at both sides that have to do with inches.  So on the white rules, what’s side should I be looking at?  The red or the blue?"
168,168_99,If we have to go to each group and spend five minutes and it’s three groups –,teacher,"It usually has some type of rule.  So what we’re gonna do – ‘cause I think that you guys got it, but I just want to make sure, so we’re gonna do some center rotations and it’s gonna be for five minutes.  So can I have Student A be my timekeeper?  So I will give you my cell phone, so every interval of five minutes, I need for you to say time, and I need for everyone to switch. So you’re gonna start at your table, okay, and then we’re gonna go counterclockwise.  So when you end up at your table again, then you know that you have went to all three of the – all three centers.  And what you do, you have to read the – you have to read the chart.  Once you read the chart, you have to solve – you have to see what the rule is for that particular pattern, okay, and the word problem. So at this time, as you are going to your – as you’re going to your seats, going back to your tables, I need for you guys to drop off your markers.  Where is the things?  I need you to drop off your markers and your dry erase boards here, and when I say begin, then I need everybody to begin. I need everybody’s markers right here. Thank you, thank you, thank you, thank you.  I liked how you guys went to your desk.  [Inaudible], can you come get some [minor] books for your team?  You can give it to your team. Can I have Student D come b ring me – come get some [minor] books for your team.  You guys did a lovely transition.  Can he go – here are [minor] books for everyone.  I need everyone’s markers.  I don’t think I have everyone’s markers.  I don’t have everyone’s markers.  Do I have everyone’s markers?  Okay, so Student A is going to be our timekeeper.  Okay, so it’s 11:15 now, so if we have to go to each group for five minutes, how many minutes are we gonna be in –",student,11:20.,teacher,So we’re gonna be finished when?,student,11:20.,teacher,If we have to go to each group and spend five minutes and it’s three groups –,student,15.,student,11:30.
2712,2712_104,"Well, because I can go like this.  Now are they the same?",teacher,9 and 50 hundredths.  Now read the fraction you wrote.,student,Oh.,teacher,"Oh.  You see?  I’m looking back there.  Yes, awesome.  All right.  So if I write 9 and 50 hundredths as a fraction, the reason why I know it’s equal to 9 and 5 tenths, those are not the same numbers.  How can they be equal?  How can they be equal, Student L?",student,Because zero is not [Inaudible].,teacher,"Well, because I can go like this.  Now are they the same?",student,Yes.,teacher,"Uh-huh.  Because remember the zeroes at the back of the decimal don’t have a value.  Okay?  All right.  Let’s look back in your book again.  Look at number – ooh, number 19, I am liking it.  Do that on your whiteboard.  I like that one.  It’s a thinker.  I have 1 and 1 tenth, plus 6 tenths, plus I don’t know.  And all of that is going to equal 1 and 8 tenths.  It’s kind of like a multi-step in a way.  In a way it’s very similar to a multi-step.  Okay?"
4732,4732_114,"Student B, do you have a larger number or a smaller number?",teacher,"So do I have one line of symmetry here?  Number it number one, then continue on to see if you have anymore.  No, you may not change your number, Student J.  Do not change your number on your board, boys and girls.  If you have a different answer, write it underneath.  Finish up.  We’re moving on.  So you’re numbering them as you fold them, Student C, right?",student,Yes.,teacher,"You’re numbering the lines.  You’re not supposed to be drawing it.  You’re supposed to be folding it.  This is line number one.  This is line number two.  Keep going and number your lines.  Turn it over on the other side because you drew lines.  Talk to your neighbor.  I took it.  [Inaudible].  Is this the one I told you? Talk to your neighbor.  You’re going to have to come up and present.  Make sure you understand and are in agreement.  Okay.  So if you’re still doing it, keep working quietly.  Raise your hand if you now have a different answer on your board than you started with. Student A, do you have a larger number or a smaller number?",student,Smaller.,teacher,"Student B, do you have a larger number or a smaller number?",student,Smaller.,teacher,Student A?
28,28_4,Five hours per student.  And how did you figure that out?,teacher,"All right, I think everything’s go for the cameras.  We’re going to start off today just by doing our daily word problems.  I’m going to pass these out real quick, and what I want you to do, if you would, is try to solve these problems.  Remember just to try to use everyday kind of logic. Don’t try to think about it too much, just try your best on these, Okay?  What I want you to do is probably just – why don’t we just stick with the second one where it says “Thursday Week Seven.”  You don’t have to do the first one right now; we’ll come back to that. Let me just read this real quick while you’re kind of working on it. It says, “Miss W’s class read for a total of 450 hours this month.  Mr. G’s class read two-thirds the number of hours read by Miss W’s class.  Miss R’s class read twice the number of hours read by Mr. G’s class.  If there were a total of 90 students in these three classrooms, what was the average number of hours read per student?” What was the average?  Remember we were doing a little bit of averaging yesterday?  So what you need to do is find the total of hours and divide that by the number of students. That will give you the average that each student read. So we have 450 hours this month that these 90 students read, right? So what is the average?  They’re asking you, what is the average amount?  Maybe they had one super student that read all 450 hours, right?  And then the 89 other students didn't read at all.  But they’re looking for the average. Go ahead.",student,The answer?,teacher,"Go ahead, what do you think?",student,I think the answer is five hours per student.,teacher,Five hours per student.  And how did you figure that out?,student,"Because I just thought about it without the zeroes at the end, I thought about 9 times 5 equals 45, so that means 90 times 5 must be 450.",teacher,"Okay, so you see, you figured it out just kind of by thinking about it.  Right?  You said 9 times 5 is 45, so you knew – what was the next comment you said?  You knew…"
524,524_115,Ask me that question one more time.,teacher,"Okay, good.  You know, it’s funny, when we think about a kite we usually think, oh, that shape right there, don’t we?  A diamond.  But you guys caught yourselves.  You noticed that these sides are shorter than these sides, so this figure has corresponding sides. All right, I want us to identify all of the corresponding sides of Student J’s two triangles.  Student J drew two triangles, and I want us to identify all the corresponding sides.",student,I’ve got a question.,teacher,Yes.,student,"When you do a corresponding line, you see how it is B or F like that [inaudible].",teacher,Ask me that question one more time.,student,"When you do a corresponding line, could B and F be a corresponding line or not?",teacher,"No, because B and F are on two different plane figures."
621,621_349,Three fourths.  Is it more or less?,teacher,"Yards to inches.  So, what do you need to know first?",student,How many inches are in – how many inches are in one yard?,teacher,"Okay, so if there are 36 in one yard, and this it three fourths of a yard – is three fourths more or less than one whole?",multiple students,[Multiple Answers]   More or less?  Less,teacher,Three fourths.  Is it more or less?,student,Less.,teacher,It’s less.  So that means three fourths of a yard has to be more or less than 36 inches?
558,558_150,"What kind of groups?  Special thing you need to say?  We’re talking about fractions, the groups are what?  Six what kind of groups?",teacher,"Equal.  There's four equal groups, which is the total which is the denominator, and three are shaded which is the numerator.  What could we name the bottom fraction? Student T?",student,Five sixths.,teacher,"Five sixths.  Can you explain, Student T, in a really loud voice how you know that that’s five sixths?",student,Six groups—,teacher,"What kind of groups?  Special thing you need to say?  We’re talking about fractions, the groups are what?  Six what kind of groups?",student,Special.,student,Equal?
814,814_340,It is?  I can fix it later.,teacher,"Yes, and then you write the fractions for each, okay?  How are you doing?",student,[Inaudible],teacher,Yeah.  Good job.,student,My desk is wobbly.,teacher,It is?  I can fix it later.,student,I was just about to tell you that.,teacher,"Okay.  Yeah, we’ll fix it later, okay, during recess.  Can you remind me, though, ‘cause you know me, I’ll forget."
2083,2083_129,Divide 15 by five.  What’s 15 divided by five?,teacher,"Whatever you do to the top you have to do to the bottom.  Now, this fraction on the left is smaller than this fraction on the right.  So, I’m not gonna multiply 15 times five and get this denominator.  What do I have to do?",student,You divide this [inaudible].,teacher,Divide 15.,student,Fifteen divided by –,teacher,Divide 15 by five.  What’s 15 divided by five?,student,Three.,teacher,Three.  So that means two thirds is blank to ten fifteenths.
4419,4419_125,"And that’s how you get the one-ninth.  So that’s what you divide by.  If I ask you to explain how you simplify, you pick the greatest common factor, something they have in common, the biggest, and that’s what you divide your numerator and denominator by.  And it makes you end up dividing – excuse me, by one.  Okay, let me make sure I got all those [inaudible].  Are we good on that, so far?",student,Eight.,student,Eight.,teacher,"Eight, because eight times what’s 72?",multiple students,[Inaudible].,teacher,"And that’s how you get the one-ninth.  So that’s what you divide by.  If I ask you to explain how you simplify, you pick the greatest common factor, something they have in common, the biggest, and that’s what you divide your numerator and denominator by.  And it makes you end up dividing – excuse me, by one.  Okay, let me make sure I got all those [inaudible].  Are we good on that, so far?",student,Yeah.,teacher,"Because I’m just going to take this and roll it – let’s go over – let’s … let’s look at these three.  All right, “D”, “H”, and “L”."
11,11_124,20.  And 20 percent.  A one-fifth is the same as – ?,teacher,"And one-fifth is this one, right?  And this is one-fifth and this is the same as what percent?  One whole is – ?",multiple students,100 percent.,teacher,"100 percent.  And one-fifth is one 100 divided by one, two, three, four, five.  If you divide 100 by 5, what you have?",student,20.,teacher,20.  And 20 percent.  A one-fifth is the same as – ?,student,20 percent.,teacher,"20 percent.  Right.  Now he explained it, right?  This is how you should explain your --"
4760,4760_527,Plus?,teacher,Plus?,multiple students,Four dollars.,teacher,Plus?,multiple students,Five dollars.,teacher,Plus?,multiple students,Six dollars.,teacher,Plus?
772,772_898,A right isosceles?,student,Right.,teacher,"Right.  So, she had a right—",student,I thought an acute ‘cause it has more.,student,A right isosceles.,teacher,A right isosceles?,student,No.  Wait a minute.,teacher,One length—
2469,2469_440,You need to prove it and show your work.,student,I’m still sticking with the number 33.,teacher,Yeah.  It’s okay.  Uh-huh.  We have three more minutes and I don’t see anybody putting it on construction paper yet.,student,Construction paper.,student,Yeah.  We have to put it on construction paper.,teacher,You need to prove it and show your work.,student,"Gimme, gimme.",teacher,Yeah.  What did you do?
4727,4727_384,[Inaudible] to everybody.  Put your name on these.,teacher,Shh.,student,[Inaudible].,teacher,"All right, Student I.",student,[Inaudible].,teacher,[Inaudible] to everybody.  Put your name on these.,student,[Inaudible].,teacher,"One of one.  Okay, hurry up, Student R."
628,628_100,"Well yeah, every shape has corners.",teacher,"Okay, well they are closed figures.",student,Ms. H – [inaudible].,teacher,What else?  You wanna lose it?  What else?  Student A?,student,They all have corners.,teacher,"Well yeah, every shape has corners.",student,Not every shape.  A circle.,teacher,"Okay well, on these we all have corners.  Yes, Student L."
2493,2493_106,"Not about eight, okay?  And so I want you to do – to pour these two, and then Student M, I want you to pour these two and see if that’s right, okay?  [Inaudible] do it at the same time.  Oh, okay.  Student L, do want to come try this?",student,I was thinking about two quarts.,teacher,"Yeah, exactly.  You had already gone one step ahead.  Okay, you’re right.  And so Student T, I want you to take – and that’s exactly right.  I want you to say – so now we’re saying – because really we’re taking it from the – we’re saying – we had to get it down to ounces and then put it into cups, right?  So –",teacher,"Okay.  My friends, you – they were – this group was very quiet working in rotation, so they can hear me.  So I need for you to do the exact same thing.  Thank you.  Okay, so Student T, I want you to take and I want you to pour – so how many cups are we going to need for each one?  How many cups altogether?",student,[About eight].,teacher,"Not about eight, okay?  And so I want you to do – to pour these two, and then Student M, I want you to pour these two and see if that’s right, okay?  [Inaudible] do it at the same time.  Oh, okay.  Student L, do want to come try this?",student,[Inaudible].,teacher,"Okay.  That’s okay.  All right, so come on over here.  Well, we’re gonna practice again."
4082,4082_8,Can you look in your notes to see if we have talked about it? It should be in your notes.  What is a multiple?  How do we know a multiple?,teacher,Do you multiply one number with number?  Find the multiple?,student,No.,teacher,How do you find the multiple?,student,You -,teacher,Can you look in your notes to see if we have talked about it? It should be in your notes.  What is a multiple?  How do we know a multiple?,student,Because you [inaudible].,teacher,"Do you remember, Student M, talking about a multiple?"
4040,4040_14,So what’s the pattern of a blue – is there really a pattern?,teacher,Why did you guys put a blue square?  What do you think the blue square represents?  Why would you put a blue square there?  Student H?,student,"Because every single day, on Monday, it has no blue square.",teacher,No square?,student,But until [inaudible].,teacher,So what’s the pattern of a blue – is there really a pattern?,multiple students,Yes.,teacher,"I don’t know, because every time a blue square is there, at first you thought maybe you skip a day, and the next two days you get it, but if that was the pattern, why doesn’t 6 have a blue square?  So you guys actually have still not figured out what that blue square might be, right?  Let’s see.  There actually is a blue square, but if you don’t know what it represents, why are you putting it there?  You have to figure out what the blue square means, yes?"
837,837_279,Three times two?,teacher,"Yes.  Yes.  Hey fellas, if that goes off again, I’m going to need you to go and choose another math workshop.  I do need to be able to work with these students, okay?  And I’ve given you some problem-solving.  Some ways that you could solve that.  So I could say that the number times two minus one.  Oh, so let’s check that out.  Two times two is what?",multiple students,Four.,teacher,Minus one?,multiple students,Three.,teacher,Three times two?,multiple students,Six.,teacher,Minus One?
525,525_43,Isn’t it tonight?,student,Because [Inaudible].,teacher,"Your partner’s wedge may not have been the same size as your wedge.  Okay.  What I have for us today – I’m going to give you a sheet and a pair of scissors.  Cut along the bottom, cut along the dotted line there.  Student C, can you have [Inaudible]?",teacher,"Alright, there we go. [Inaudible] feels like it.  So alight. It says cut along across the bottom of this paper along the dotted line.",student,Teacher?  [Inaudible].,teacher,Isn’t it tonight?,student,Yeah.,teacher,Yeah.  Probably not going to make that tonight.  Not this time.
703,703_32,"Excellent.  All right, so Student S, you’re just gonna write down her answer so her decimal?  Okay, Student L, what is it?  How do you read that out loud?",teacher,"Okay, which is – what is that?  What do we call four?",student,[Numerator].,teacher,"Numerator, remember, numerator always goes in, right, Student C?",student,Mm-hmm.,teacher,"Excellent.  All right, so Student S, you’re just gonna write down her answer so her decimal?  Okay, Student L, what is it?  How do you read that out loud?",student,Huh?,teacher,How would you read that?
